NORDEN,IDHOGAR,TMUNI,NHOGAR,EHOGAR,SEXO,EDAD,NACIONALIDAD,ESTUDIANTE,REGLADO,NOREGLADO,Nivel_estudios,Nivel_estudios_especifico,Tipo_educacion,Localización_Centro,importe_matricula_clases,servicio_comedor,importe_comedor,servicio_transporte,importe_transporte,servicio_alojamiento,importe_alojamiento,servicio_ampliacion_horario,importe_ampliacion_horario,servicio_clases_apoyo,importe_clases_apoyo,servicio_actividades_extraescolares,importe_actividades_extraescolares,servicio_actividades_complementarias,importe_actividades_complementarias,servicio_cuota_ampa,importe_cuota_ampa,servicio_otros,importe_otros_servicios,servicio_clases_particulares,importe_clases_particulares,importe_escuela_idiomas,importe_estudios_idiomas_no_reglados,importe_ensenanzas_artisticas,importe_oposiciones_pruebas_acceso,importe_otros_estudios,gasto_libros,importe_libros,gasto_fotocopias,importe_fotocopias,gasto_uniformes,importe_uniformes,gasto_papeleria,importe_papeleria,gasto_muebles_accesorios,importe_muebles_accesorios,gasto_productos_informaticos,importe_productos_informaticos,gasto_otros_bienes,importe_otros_bienes,gasto_total_educacion,gasto_total_servicios,gasto_total_servicios_reglados,gasto_total_servicios_no_reglados,gasto_total_bienes,FACTOR
7160,749,10.000-49.999 habitantes,4,2,Hombre,15,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,12,2,0,1,420,0,0,0,0,0,1,40,2,0,2,0,1,25,2,0,2,0,2,0,497,432,432,0,65,1514.524459
7176,749,10.000-49.999 habitantes,4,2,Hombre,15,Española,Sí,Sí,No,Educación Secundaria,Ciclos Formativos de FP,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,13,2,0,1,480,0,0,0,0,0,1,65,2,0,2,0,1,80,2,0,2,0,2,0,638,493,493,0,145,1514.524459
51526,750,<10.000 habitantes,4,2,Hombre,12,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,20,2,0,1,35,2,0,2,0,2,0,1,25,80,0,0,0,80,1852.000923
51532,750,<10.000 habitantes,4,2,Hombre,19,Española,Sí,Sí,No,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza pública,Misma Provincia,0,2,0,2,0,1,1560,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,40,2,0,2,0,2,0,2,0,2,0,1600,1560,1560,0,40,1852.000923
7216,751,10.000-49.999 habitantes,4,1,Mujer,19,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Misma Provincia,832,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,100,2,0,1,25,2,0,2,0,2,0,957,832,832,0,125,2314.818553
7268,752,10.000-49.999 habitantes,5,1,Mujer,30,Española,Sí,Sí,No,Educación Secundaria,Bachillerato,Enseñanza pública,Misma Provincia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,5,2,0,2,0,2,0,2,0,2,0,5,0,0,0,5,1720.681786
7293,753,10.000-49.999 habitantes,3,1,Hombre,13,Española,Sí,Sí,Sí,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Misma Provincia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,550,2,0,2,0,2,0,0,360,0,0,0,1,450,1,5,1,30,1,225,2,0,2,0,1,20,1640,910,550,360,730,1118.439727
7329,754,10.000-49.999 habitantes,4,2,Mujer,17,Española,Sí,Sí,No,Educación Secundaria,Bachillerato,Enseñanza pública,Misma Provincia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,25,2,0,2,0,1,360,0,0,0,0,0,1,270,1,20,1,200,1,70,2,0,2,0,2,0,945,385,385,0,560,1648.57881
7335,754,10.000-49.999 habitantes,4,2,Mujer,12,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Misma Provincia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,60,2,0,2,0,1,300,0,0,0,0,0,1,120,2,0,1,180,1,60,1,120,2,0,2,0,840,360,360,0,480,1648.57881
30844,755,<10.000 habitantes,6,2,Mujer,17,Española,Sí,Sí,No,Educación Secundaria,Bachillerato,Enseñanza pública,Misma Provincia,65,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,384,0,0,0,0,0,1,73,1,60,2,0,1,50,2,0,2,0,2,0,632,449,449,0,183,2314.555899
30857,755,<10.000 habitantes,6,2,Hombre,15,Española,Sí,Sí,Sí,Educación Secundaria,Bachillerato,Enseñanza pública,Misma Provincia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,600,2,0,2,0,1,420,0,420,0,0,0,1,180,1,30,2,0,1,30,2,0,2,0,2,0,1680,1440,1020,420,240,2314.555899
30909,756,<10.000 habitantes,4,2,Mujer,13,Española,Sí,Sí,Sí,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,1,600,1,0,2,0,2,0,2,0,1,96,1,80,1,20,2,0,2,0,0,480,360,0,0,1,400,2,0,1,72,1,20,2,0,2,0,2,0,2128,1636,796,840,492,1573.387804
30916,756,<10.000 habitantes,4,2,Mujer,11,Española,Sí,Sí,Sí,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,1,600,1,0,2,0,2,0,2,0,1,96,1,120,1,20,2,0,2,0,0,480,180,0,0,1,400,2,0,1,75,1,20,2,0,2,0,2,0,1991,1496,836,660,495,1573.387804
101587,757,10.000-49.999 habitantes,4,1,Hombre,5,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,1,510,2,0,2,0,1,288,2,0,1,72,1,20,1,12,2,0,2,0,0,0,0,0,0,1,53,1,10,1,20,1,25,2,0,2,0,2,0,1010,902,902,0,108,3314.576265
112773,758,10.000-49.999 habitantes,3,1,Hombre,6,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,2,0,1,0,2,0,2,0,2,0,1,540,2,0,1,10,2,0,2,0,0,0,0,0,0,1,100,2,0,2,0,1,100,2,0,2,0,2,0,750,550,550,0,200,2684.184566
112806,759,10.000-49.999 habitantes,3,1,Hombre,17,Española,Sí,Sí,Sí,Educación Secundaria,Bachillerato,Enseñanza pública,Municipio Residencia,52,2,0,1,0,2,0,2,0,2,0,1,0,1,6,1,12,2,0,1,360,0,300,0,0,0,1,180,1,20,2,0,1,20,2,0,1,900,2,0,1850,730,430,300,1120,2276.616456
112834,760,10.000-49.999 habitantes,3,1,Hombre,2,Española,Sí,Sí,No,Educación Infantil,1º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,40,2,0,2,0,2,0,40,0,0,0,40,3382.220679
112865,761,<10.000 habitantes,3,1,Hombre,18,Española,Sí,Sí,No,Educación Secundaria,Ciclos Formativos de FP,Enseñanza pública,Misma Provincia,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,1,15,2,0,1,120,0,0,0,0,0,1,65,1,40,1,180,1,15,1,90,2,0,1,261,786,135,135,0,651,2840.890586
112890,762,<10.000 habitantes,3,2,Hombre,9,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,83,2,0,1,350,2,0,433,0,0,0,433,3000.594831
89024,763,100.000-499.999 habitantes,2,1,Mujer,4,Española,Sí,Sí,Sí,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,8,1,20,2,0,2,0,0,384,486,0,0,1,120,1,50,2,0,1,70,1,30,2,0,1,300,1468,898,28,870,570,2736.352648
89058,764,100.000-499.999 habitantes,4,2,Hombre,25,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Municipio Residencia,228,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,100,1,20,2,0,1,30,2,0,2,0,2,0,378,228,228,0,150,5120.978762
89061,764,100.000-499.999 habitantes,4,2,Mujer,24,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Municipio Residencia,853,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,200,1,20,2,0,1,30,2,0,2,0,2,0,1103,853,853,0,250,5120.978762
112926,765,10.000-49.999 habitantes,4,2,Mujer,16,Española,Sí,Sí,No,Educación Secundaria,Bachillerato,Enseñanza pública,Municipio Residencia,0,2,0,1,300,2,0,2,0,2,0,2,0,1,30,1,15,2,0,1,480,0,0,0,0,0,1,100,1,30,2,0,1,70,2,0,2,0,2,0,1025,825,825,0,200,3900.10185
112932,765,10.000-49.999 habitantes,4,2,Mujer,12,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza concertada,Municipio Residencia,80,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,17,2,0,1,390,0,0,0,0,0,1,0,2,0,2,0,1,50,2,0,2,0,1,45,582,487,487,0,95,3900.10185
112963,766,10.000-49.999 habitantes,4,1,Mujer,22,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Misma Provincia,365,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,220,1,300,2,0,2,0,2,0,1,1100,2,0,1985,365,365,0,1620,2838.387068
101632,767,50.000-99.999 habitantes,4,2,Mujer,18,Española,Sí,Sí,Sí,Educación Secundaria,Ciclos Formativos de FP,Enseñanza pública,Municipio Residencia,197,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,60,0,0,1,240,1,50,1,120,1,20,2,0,2,0,1,80,767,257,197,60,510,4118.436275
101647,767,50.000-99.999 habitantes,4,2,Hombre,11,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza concertada,Municipio Residencia,0,2,0,2,0,2,0,2,0,1,0,2,0,1,20,1,15,1,70,1,390,0,0,0,0,0,1,60,2,0,1,40,1,86,2,0,1,130,2,0,811,495,495,0,316,4118.436275
7353,768,10.000-49.999 habitantes,3,2,Hombre,5,Española,Sí,Sí,Sí,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,2,0,1,0,2,0,2,0,2,0,2,0,1,20,2,0,2,0,2,0,0,1404,0,0,0,1,23,1,25,1,150,1,45,1,20,2,0,2,0,1687,1424,20,1404,263,1698.590838
7372,769,10.000-49.999 habitantes,3,2,Hombre,47,Española,Sí,Sí,No,Educación Secundaria,Ciclos Formativos de FP,Enseñanza pública,Municipio Residencia,182,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,720,182,0,0,0,0,1,0,1,60,2,0,2,0,2,0,2,0,2,0,962,902,902,0,60,1828.857107
7391,769,10.000-49.999 habitantes,3,2,Mujer,16,Española,Sí,Sí,No,Educación Secundaria,Bachillerato,Enseñanza pública,Misma Provincia,360,2,0,1,276,2,0,2,0,2,0,1,0,1,1400,2,0,2,0,1,660,0,0,0,0,0,1,540,2,0,2,0,1,90,2,0,1,1160,2,0,4486,2696,2696,0,1790,1828.857107
101685,770,<10.000 habitantes,4,2,Hombre,8,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,1,138,1,138,1,8,1,20,2,0,2,0,0,0,0,0,0,1,50,1,10,1,30,1,25,2,0,2,0,2,0,419,304,304,0,115,3120.301961
101698,770,<10.000 habitantes,4,2,Mujer,13,Española,Sí,Sí,Sí,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,10,2,0,2,0,2,0,0,0,300,0,0,1,55,2,0,2,0,1,25,2,0,2,0,2,0,390,310,10,300,80,3120.301961
101724,771,<10.000 habitantes,3,1,Hombre,9,Extrangera,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,1,0,2,0,2,0,2,0,2,0,2,0,1,20,2,0,2,0,2,0,0,0,0,0,0,1,260,1,30,1,45,1,100,2,0,1,120,2,0,575,20,20,0,555,11671.708922
72813,772,<10.000 habitantes,3,1,Hombre,18,Española,Sí,Sí,No,Educación Secundaria,Bachillerato,Enseñanza pública,Municipio Residencia,0,2,0,1,0,2,0,2,0,2,0,2,0,1,700,2,0,2,0,2,0,0,0,0,0,0,1,50,1,20,2,0,1,40,2,0,2,0,2,0,810,700,700,0,110,2082.934664
72849,773,10.000-49.999 habitantes,3,2,Hombre,10,Española,Sí,Sí,Sí,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,30,1,20,2,0,2,0,0,180,0,0,0,1,0,1,20,1,35,1,50,2,0,2,0,2,0,335,230,50,180,105,1347.552864
51563,775,10.000-49.999 habitantes,3,1,Mujer,14,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,1,0,2,0,1,30,2,0,2,0,1,360,0,0,0,0,0,1,150,2,0,1,49,1,20,2,0,2,0,2,0,609,390,390,0,219,1059.617575
30968,776,100.000-499.999 habitantes,3,1,Hombre,21,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Misma CA,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,1,20,2,0,1,50,1,200,2,0,2,0,270,0,0,0,270,1971.107337
51598,777,100.000-499.999 habitantes,4,2,Mujer,16,Española,Sí,Sí,No,Educación Secundaria,Bachillerato,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,350,1,10,2,0,1,50,2,0,2,0,2,0,410,0,0,0,410,2565.693763
51602,777,100.000-499.999 habitantes,4,2,Mujer,14,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,20,2,0,2,0,2,0,0,0,0,0,0,1,110,2,0,2,0,1,150,1,300,2,0,2,0,580,20,20,0,560,2565.693763
30980,779,10.000-49.999 habitantes,2,1,Hombre,13,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza concertada,Misma Provincia,0,1,780,2,0,2,0,2,0,2,0,1,150,1,50,1,50,1,450,2,0,0,0,0,0,0,1,180,1,50,1,300,1,50,2,0,2,0,1,60,2120,1480,1480,0,640,1419.830933
51677,780,<10.000 habitantes,2,1,Hombre,18,Española,Sí,Sí,Sí,Educación Secundaria,Bachillerato,Enseñanza pública,Misma Provincia,0,2,0,1,0,2,0,2,0,2,0,1,900,1,400,2,0,2,0,2,0,0,900,0,0,0,1,650,2,0,2,0,1,70,1,180,2,0,2,0,3100,2200,1300,900,900,1647.305549
113002,781,<10.000 habitantes,3,1,Mujer,14,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Misma Provincia,0,2,0,1,0,2,0,2,0,1,0,2,0,1,25,2,0,2,0,1,840,0,0,0,0,0,1,120,1,20,1,20,1,62,2,0,2,0,2,0,1087,865,865,0,222,3336.377873
7427,782,<10.000 habitantes,5,3,Mujer,30,Española,Sí,Sí,Sí,Educación Superior,Estudios Universitarios,Enseñanza privada,Otra CA,4760,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,300,2,0,0,720,0,960,0,1,220,1,120,2,0,1,30,1,300,2,0,2,0,7410,6740,5060,1680,670,2016.279334
7448,782,<10.000 habitantes,5,3,Mujer,22,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Otra CA,900,1,552,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,900,0,0,0,0,1,190,1,180,2,0,1,90,2,0,1,560,2,0,2472,1452,1452,0,1020,2016.279334
7486,783,<10.000 habitantes,4,2,Hombre,3,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,1,2310,0,0,0,0,0,1,300,1,50,1,37,1,50,2,0,2,0,1,100,2847,2310,2310,0,537,2379.990808
7502,784,<10.000 habitantes,4,3,Mujer,11,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,1,0,2,0,2,0,2,0,2,0,2,0,1,40,1,10,2,0,1,216,0,0,0,0,0,1,0,2,0,2,0,1,70,2,0,2,0,2,0,336,266,266,0,70,1540.692645
7519,784,<10.000 habitantes,4,3,Mujer,6,Extrangera,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,1,10,2,0,1,216,0,0,0,0,0,1,0,2,0,2,0,1,70,2,0,2,0,2,0,296,226,226,0,70,1540.692645
7545,785,<10.000 habitantes,3,2,Hombre,19,Española,Sí,Sí,No,Educación Secundaria,Ciclos Formativos de FP,Enseñanza pública,Misma CA,0,2,0,2,0,1,1800,2,0,2,0,2,0,2,0,2,0,1,25,2,0,0,0,0,0,0,1,45,1,20,1,90,2,0,2,0,2,0,2,0,1980,1825,1825,0,155,1462.050745
7558,785,<10.000 habitantes,3,2,Mujer,11,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,0,2,0,2,0,1,35,2,0,2,0,2,0,35,0,0,0,35,1462.050745
7583,786,<10.000 habitantes,4,2,Hombre,3,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,50,2,0,2,0,2,0,2,0,2,0,2,0,1,30,2,0,2,0,2,0,0,0,0,0,0,1,230,2,0,2,0,1,80,2,0,2,0,2,0,390,80,80,0,310,2459.976512
7596,786,<10.000 habitantes,4,2,Hombre,0,Española,Sí,Sí,No,Educación Infantil,1º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,600,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,60,2,0,2,0,2,0,660,600,600,0,60,2459.976512
7638,787,<10.000 habitantes,4,1,Mujer,22,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza pública,Misma CA,800,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,70,1,20,2,0,1,20,2,0,2,0,2,0,910,800,800,0,110,1893.220712
101761,788,50.000-99.999 habitantes,4,1,Hombre,5,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,1,80,1,5,2,0,2,0,2,0,0,0,0,0,0,1,0,2,0,2,0,2,0,2,0,2,0,2,0,85,85,85,0,0,3672.263982
101817,790,50.000-99.999 habitantes,4,2,Hombre,15,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,12,2,0,2,0,2,0,0,0,0,0,0,1,50,1,10,1,40,1,8,1,400,2,0,1,50,570,12,12,0,558,2474.630478
101838,790,50.000-99.999 habitantes,4,2,Mujer,19,Española,Sí,Sí,Sí,Educación Secundaria,Ciclos Formativos de FP,Enseñanza pública,Municipio Residencia,0,2,0,1,120,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,360,0,0,0,1,56,1,30,2,0,1,9,2,0,1,59,2,0,634,480,120,360,154,2474.630478
72904,791,10.000-49.999 habitantes,5,2,Hombre,11,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza concertada,Municipio Residencia,600,2,0,2,0,2,0,2,0,2,0,2,0,1,180,1,22,1,60,2,0,0,0,0,0,0,1,170,1,60,1,80,1,60,2,0,1,500,2,0,1732,862,862,0,870,3303.021535
72911,791,10.000-49.999 habitantes,5,2,Mujer,8,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza concertada,Municipio Residencia,600,2,0,2,0,2,0,2,0,2,0,2,0,1,130,1,22,1,60,2,0,0,0,0,0,0,1,110,1,55,1,80,1,55,2,0,2,0,2,0,1112,812,812,0,300,3303.021535
72963,792,<10.000 habitantes,5,4,Hombre,17,Española,Sí,Sí,Sí,Educación Secundaria,Bachillerato,Enseñanza pública,Misma Provincia,780,2,0,1,120,2,0,2,0,2,0,1,300,1,80,2,0,2,0,1,840,0,300,0,0,0,1,125,2,0,2,0,1,150,2,0,2,0,2,0,2695,2420,2120,300,275,3287.585056
72979,792,<10.000 habitantes,5,4,Hombre,15,Española,Sí,Sí,Sí,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Misma Provincia,150,2,0,1,0,2,0,2,0,2,0,2,0,1,80,1,25,2,0,1,900,0,600,450,0,0,1,125,2,0,2,0,1,150,2,0,2,0,2,0,2480,2205,1155,1050,275,3287.585056
72985,792,<10.000 habitantes,5,4,Mujer,12,Española,Sí,Sí,Sí,Educación Primaria,Educación Primaria,Enseñanza pública,Misma Provincia,100,1,540,2,0,2,0,2,0,2,0,1,600,1,100,1,25,2,0,2,0,0,300,600,0,120,2,0,2,0,2,0,1,150,2,0,2,0,2,0,2535,2385,1365,1020,150,3287.585056
73024,793,<10.000 habitantes,5,2,Hombre,19,Española,Sí,Sí,No,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza pública,Misma Provincia,360,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,20,2,0,2,0,2,0,380,360,360,0,20,3624.825751
73030,793,<10.000 habitantes,5,2,Mujer,17,Española,Sí,Sí,Sí,Educación Secundaria,Ciclos Formativos de FP,Enseñanza pública,Misma Provincia,129,2,0,1,288,2,0,2,0,2,0,2,0,2,0,1,25,2,0,1,450,0,450,0,0,0,1,78,2,0,1,55,1,30,2,0,1,985,2,0,2490,1342,892,450,1148,3624.825751
7715,794,10.000-49.999 habitantes,4,2,Hombre,16,Española,Sí,Sí,Sí,Educación Secundaria,Bachillerato,Enseñanza pública,Municipio Residencia,200,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,30,2,0,1,510,0,30,0,0,0,1,410,1,15,2,0,1,100,2,0,1,780,2,0,2075,770,740,30,1305,3649.918175
7720,794,10.000-49.999 habitantes,4,2,Mujer,3,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,1460,1,150,2,0,2,0,2,0,2,0,2,0,2,0,1,180,2,0,2,0,0,0,0,0,0,1,350,2,0,1,200,1,60,2,0,2,0,2,0,2400,1790,1790,0,610,3649.918175
7741,795,10.000-49.999 habitantes,3,1,Mujer,13,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,80,1,7,2,0,1,60,2,0,2,0,2,0,147,0,0,0,147,3147.530483
31029,797,100.000-499.999 habitantes,4,2,Hombre,3,Extrangera,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,450,1,900,2,0,2,0,1,72,2,0,2,0,2,0,1,20,2,0,2,0,0,0,0,0,0,2,0,2,0,1,500,2,0,2,0,2,0,2,0,1942,1442,1442,0,500,4408.612092
31035,797,100.000-499.999 habitantes,4,2,Hombre,0,Extrangera,Sí,Sí,No,Educación Infantil,1º Ciclo de Educación Infantil,Enseñanza concertada,Municipio Residencia,300,1,720,2,0,2,0,1,108,2,0,2,0,2,0,1,16,2,0,2,0,0,0,0,0,0,2,0,2,0,1,300,2,0,2,0,2,0,2,0,1444,1144,1144,0,300,4408.612092
31066,798,100.000-499.999 habitantes,4,2,Hombre,4,Española,Sí,Sí,No,Educación Infantil,2º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,1,600,2,0,2,0,2,0,2,0,1,180,1,150,1,50,2,0,2,0,0,0,0,0,0,2,0,2,0,1,200,2,0,2,0,2,0,2,0,1180,980,980,0,200,2833.350024
31072,798,100.000-499.999 habitantes,4,2,Hombre,2,Española,Sí,Sí,No,Educación Infantil,1º Ciclo de Educación Infantil,Enseñanza pública,Municipio Residencia,0,1,720,2,0,2,0,2,0,2,0,2,0,2,0,1,50,2,0,2,0,0,0,0,0,0,2,0,2,0,1,150,2,0,2,0,2,0,2,0,920,770,770,0,150,2833.350024
31112,799,<10.000 habitantes,4,1,Mujer,11,Española,Sí,Sí,No,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,1,180,2,0,1,30,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0,1,50,2,0,2,0,2,0,260,210,210,0,50,3141.434401
113030,800,10.000-49.999 habitantes,3,1,Mujer,26,Española,Sí,Sí,No,Educación Superior,Ciclos Formativos de Grado Superior,Enseñanza pública,Misma Provincia,470,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,66,1,50,2,0,1,50,2,0,2,0,2,0,636,470,470,0,166,6922.403056
113058,801,10.000-49.999 habitantes,2,2,Hombre,39,Española,Sí,Sí,No,Educación Superior,Estudios Universitarios,Enseñanza privada,Municipio Residencia,6700,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,1,100,1,15,2,0,1,35,2,0,1,1400,2,0,8250,6700,6700,0,1550,12061.923022
89122,802,<10.000 habitantes,4,3,Hombre,14,Española,Sí,Sí,Sí,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,88,1,26,2,0,2,0,0,0,0,105,0,1,197,2,0,2,0,1,21,2,0,1,96,2,0,533,219,114,105,314,6923.648416
89138,802,<10.000 habitantes,4,3,Hombre,12,Española,Sí,Sí,No,Educación Secundaria,Educación Secundaria Obligatoria (ESO),Enseñanza pública,Municipio Residencia,0,2,0,2,0,2,0,2,0,2,0,2,0,1,34,1,26,2,0,1,264,0,0,0,0,0,1,25,1,20,2,0,1,103,2,0,1,335,2,0,807,324,324,0,483,6923.648416
101908,803,10.000-49.999 habitantes,4,2,Mujer,12,Española,Sí,Sí,Sí,Educación Primaria,Educación Primaria,Enseñanza pública,Municipio Residencia,120,1,14,2,0,2,0,2,0,2,0,2,0,1,50,1,15,2,0,2,0,0,0,264,0,0,1,200,2,0,1,82,1,30,2,0,2,0,2,0,775,463,199,264,312,6691.971626
